condition_1	condition_2	conseqPair	feature	propOfRelevantEvents	propCiLo	propCiHi	propPval	nUp	nDown	propQval	Significant
VZ	CP	coding_potential	Transcript is coding (paired with Transcript is Noncoding)	0.5104895104895105	0.46208866349864175	0.558744750114671	0.6993636972346507	219	210	0.7576440053375383	FALSE
VZ	CP	domains_identified	Domain gain (paired with Domain loss)	0.5007072135785007	0.47431404066541155	0.5270974425722297	0.9787852180662735	708	706	0.9787852180662735	FALSE
VZ	CP	exon_number	Exon gain (paired with Exon loss)	0.6171376481312671	0.6002803482260164	0.6337865141020895	1.931844973069935e-41	2031	1260	2.5113984649909156e-40	TRUE
VZ	CP	isoform_length	Length gain (paired with Length loss)	0.524349750968456	0.5079152190896532	0.540744859287289	0.0035968184167524055	1895	1719	0.005844829927222659	TRUE
VZ	CP	last_exon	Last exon more downstream (paired with Last exon more upstream)	0.5980676328502416	0.5674707543427785	0.6281051473372765	3.004175527272265e-10	619	416	9.763570463634862e-10	TRUE
VZ	CP	NMD_status	NMD insensitive (paired with NMD sensitive)	0.2915451895043732	0.2439746506142208	0.34275719897932255	7.126076185909753e-15	100	243	3.0879663472275595e-14	TRUE
VZ	CP	ORF	Complete ORF gain (paired with Complete ORF loss)	0.5292096219931272	0.4877377352170321	0.5703836597839329	0.17129191086225695	308	274	0.22267948412093405	FALSE
VZ	CP	ORF_length	ORF is longer (paired with ORF is shorter)	0.5255178304505659	0.5110971292975232	0.5399066877721439	5.040974872567532e-4	2461	2222	9.361810477625417e-4	TRUE
VZ	CP	signal_peptide_identified	Signal peptide gain (paired with Signal peptide loss)	0.42424242424242425	0.3477834715954122	0.5034727974209068	0.06137832710948891	70	95	0.08865758360259508	FALSE
VZ	CP	tss	Tss more downstream (paired with Tss more upstream)	0.5391517128874388	0.5191811406185508	0.5590286512460719	1.1383705880338585e-4	1322	1130	2.466469607406693e-4	TRUE
VZ	CP	tts	Tts more downstream (paired with Tts more upstream)	0.4024556616643929	0.38187331033587535	0.42329837394318404	5.389267139756605e-20	885	1314	3.5030236408417933e-19	TRUE
VZ	CP	x3_utr_length	3UTR is longer (paired with 3UTR is shorter)	0.49335909200676165	0.4780201211354714	0.5087074400724557	0.40138627159048246	2043	2098	0.4743655936978429	FALSE
VZ	CP	x5_utr_length	5UTR is longer (paired with 5UTR is shorter)	0.5452426361517271	0.5309051802073853	0.559524064711685	5.454385553552579e-10	2573	2146	1.4181402439236707e-9	TRUE
